Rule name,Classification
design.xml/LogicInversion,Refactorings - Simplifications
design.xml/MissingBreakInSwitch,Logic
design.xml/MissingStaticMethodInNonInstantiatableClass,Interface
design.xml/NonCaseLabelInSwitchStatement,Logic
design.xml/NonStaticInitializer,Interface
design.xml/NonThreadSafeSingleton,Concurrency
design.xml/OptimizableToArrayCall,Best Practices
design.xml/PositionLiteralsFirstInCaseInsensitiveComparisons,Logic
design.xml/PositionLiteralsFirstInComparisons,Logic
design.xml/PreserveStackTrace,Error Handling
design.xml/ReturnEmptyArrayRatherThanNull,Best Practices
design.xml/SimpleDateFormatNeedsLocale,Interface
design.xml/SimplifyBooleanExpressions,Refactorings - Simplifications
design.xml/SimplifyBooleanReturns,Refactorings - Simplifications
design.xml/SimplifyConditional,Refactorings - Simplifications
design.xml/SingularField,Best Practices
design.xml/SwitchDensity,Metric
design.xml/SwitchStmtsShouldHaveDefault,Logic
design.xml/TooFewBranchesForASwitchStatement,Metric
design.xml/UncommentedEmptyConstructor,Refactorings - Redundancies
design.xml/UncommentedEmptyMethod,Refactorings - Redundancies
design.xml/UncommentedEmptyMethodBody,Refactorings - Redundancies
design.xml/UnnecessaryLocalBeforeReturn,Refactorings - Redundancies
design.xml/UnsynchronizedStaticDateFormatter,Concurrency
design.xml/UseCollectionIsEmpty,Best Practices
design.xml/UseLocaleWithCaseConversions,Interface
design.xml/UseNotifyAllInsteadOfNotify,Concurrency
design.xml/UseUtilityClass,Object Oriented Design
design.xml/UseVarargs,Best Practices
empty.xml,Refactorings - Redundancies
empty.xml/EmptyCatchBlock,Refactorings - Redundancies
empty.xml/EmptyFinallyBlock,Refactorings - Redundancies
empty.xml/EmptyIfStmt,Refactorings - Redundancies
empty.xml/EmptyInitializer,Refactorings - Redundancies
empty.xml/EmptyStatementBlock,Refactorings - Redundancies
empty.xml/EmptyStatementNotInLoop,Refactorings - Redundancies
empty.xml/EmptyStaticInitializer,Refactorings - Redundancies
empty.xml/EmptySwitchStatements,Refactorings - Redundancies
empty.xml/EmptySynchronizedBlock,Refactorings - Redundancies
empty.xml/EmptyTryBlock,Refactorings - Redundancies
empty.xml/EmptyWhileStmt,Refactorings - Redundancies
finalizers.xml,Multiple
finalizers.xml/AvoidCallingFinalize,Resource
finalizers.xml/EmptyFinalizer,Refactorings - Redundancies
finalizers.xml/FinalizeDoesNotCallSuperFinalize,Interface
finalizers.xml/FinalizeOnlyCallsSuperFinalize,Refactorings - Redundancies
finalizers.xml/FinalizeOverloaded,Interface
finalizers.xml/FinalizeShouldBeProtected,Interface
imports.xml,Multiple
imports.xml/DontImportJavaLang,Code Structure
imports.xml/DuplicateImports,Refactorings - Redundancies
imports.xml/ImportFromSamePackage,Refactorings - Redundancies
imports.xml/TooManyStaticImports,Code Structure
imports.xml/UnnecessaryFullyQualifiedName,Best Practices
imports.xml/UnusedImports,Refactorings - Redundancies
j2ee.xml,Multiple
j2ee.xml/DoNotCallSystemExit,Best Practices
j2ee.xml/DoNotUseThreads,Concurrency
j2ee.xml/LocalHomeNamingConvention,Naming Conventions
j2ee.xml/LocalInterfaceSessionNamingConvention,Naming Conventions
j2ee.xml/MDBAndSessionBeanNamingConvention,Naming Conventions
j2ee.xml/RemoteInterfaceNamingConvention,Naming Conventions
j2ee.xml/RemoteSessionInterfaceNamingConvention,Naming Conventions
j2ee.xml/StaticEJBFieldShouldBeFinal,Best Practices
j2ee.xml/UseProperClassLoader,Concurrency
javabeans.xml,Best Practices
javabeans.xml/BeanMembersShouldSerialize,Best Practices
javabeans.xml/MissingSerialVersionUID,Best Practices
junit.xml,Multiple
junit.xml/JUnitAssertionsShouldIncludeMessage,Best Practices
junit.xml/JUnitSpelling,Naming Conventions
junit.xml/JUnitStaticSuite,Best Practices
junit.xml/JUnitTestContainsTooManyAsserts,Best Practices
junit.xml/JUnitTestsShouldIncludeAssert,Best Practices
junit.xml/SimplifyBooleanAssertion,Refactorings - Simplifications
junit.xml/TestClassWithoutTestCases,Naming Conventions
junit.xml/UnnecessaryBooleanAssertion,Refactorings - Redundancies
junit.xml/UseAssertEqualsInsteadOfAssertTrue,Best Practices
junit.xml/UseAssertNullInsteadOfAssertTrue,Best Practices
junit.xml/UseAssertSameInsteadOfAssertTrue,Best Practices
junit.xml/UseAssertTrueInsteadOfAssertEquals,Best Practices
logging-jakarta-commons.xml,Multiple
logging-jakarta-commons.xml/GuardDebugLogging,Best Practices
logging-jakarta-commons.xml/GuardLogStatement,Best Practices
logging-jakarta-commons.xml/ProperLogger,Best Practices
logging-jakarta-commons.xml/UseCorrectExceptionLogging,Error Handling
logging-java.xml,Multiple
logging-java.xml/AvoidPrintStackTrace,Error Handling
logging-java.xml/GuardLogStatementJavaUtil,Best Practices
logging-java.xml/LoggerIsNotStaticFinal,Best Practices
logging-java.xml/MoreThanOneLogger,Best Practices
logging-java.xml/SystemPrintln,Best Practices
migrating.xml,Migration
migrating.xml/AvoidAssertAsIdentifier,Migration
migrating.xml/AvoidEnumAsIdentifier,Migration
migrating.xml/ByteInstantiation,Migration
migrating.xml/IntegerInstantiation,Migration
migrating.xml/JUnit4SuitesShouldUseSuiteAnnotation,Migration
migrating.xml/JUnit4TestShouldUseAfterAnnotation,Migration
migrating.xml/JUnit4TestShouldUseBeforeAnnotation,Migration
migrating.xml/JUnit4TestShouldUseTestAnnotation,Migration
migrating.xml/JUnitUseExpected,Migration
migrating.xml/LongInstantiation,Migration
migrating.xml/ReplaceEnumerationWithIterator,Migration
migrating.xml/ReplaceHashtableWithMap,Migration
migrating.xml/ReplaceVectorWithList,Migration
migrating.xml/ShortInstantiation,Migration
migrating_to_13.xml,Migration
migrating_to_14.xml,Migration
migrating_to_15.xml,Migration
migrating_to_junit4.xml,Migration
naming.xml,Naming Conventions
naming.xml/AbstractNaming,Naming Conventions
naming.xml/AvoidDollarSigns,Naming Conventions
naming.xml/AvoidFieldNameMatchingMethodName,Naming Conventions
naming.xml/AvoidFieldNameMatchingTypeName,Naming Conventions
naming.xml/AvoidNonConstructorMethodsWithClassName,Naming Conventions
naming.xml/BooleanGetMethodName,Naming Conventions
naming.xml/ClassNamingConventions,Naming Conventions
naming.xml/ConstantNamingConventions,Naming Conventions
